match_id,team_id,competition_name,team,passes_attempted,passes_completed,shots,shots_on_target,goals,xg,xg_per_shot,crosses,through_balls,switches,pressures,counterpresses,interceptions,blocks,clearances,dribbles_attempted,dribbles_completed,pass_completion_pct,possession_pct,ppda,gs_team_id,team_name,team_short,game_id,rel_hsr_runs,rel_hsr_dist_m,rel_avg_peak_spd,rel_max_spd,abs_hsr_runs,abs_hsr_dist_m,abs_avg_peak_spd,abs_max_spd,delta_hsr_runs,delta_hsr_dist_m,match_date,match_stage,match_week,home_score,away_score,home_team_id,away_team_id,result
3869685,771,WC22,France,570,434,14,8,5,5.407,0.386,9,0,17,194,57,15,24,19,33,19,76.1,45.1,2.97,363,France,FRA,10517,83,1118.5,25.74,39.9,108,1392.8,24.84,39.9,-25,-274.29999999999995,2022-12-18,Final,7,3,3,779,771,D
3857283,788,WC22,Morocco,347,287,10,4,2,0.991,0.099,9,3,14,161,41,8,26,22,17,7,82.7,33.0,3.61,374,Morocco,MAR,3837,34,384.9,25.88,40.81,50,549.8,24.77,40.81,-16,-164.89999999999998,2022-11-27,Group Stage,2,0,2,782,788,W
3857279,771,WC22,France,763,680,23,6,4,3.17,0.138,25,6,19,83,30,11,13,11,19,9,89.1,61.6,4.44,363,France,FRA,3819,52,565.1,24.65,41.94,63,696.6,24.58,41.94,-11,-131.5,2022-11-22,Group Stage,1,4,1,771,792,W
3857298,4885,WC22,Ghana,415,336,9,3,2,0.78,0.087,7,1,5,140,65,12,16,13,15,12,81.0,38.4,3.96,383,Ghana,GHA,3826,39,440.8,23.71,41.22,24,300.5,27.13,41.22,15,140.3,2022-11-24,Group Stage,1,3,2,780,4885,L
3869152,789,WC22,Poland,488,406,12,2,1,1.594,0.133,15,0,21,120,47,8,16,22,11,9,83.2,45.1,4.12,376,Poland,POL,10504,45,487.2,24.03,37.74,44,488.8,24.77,37.74,1,-1.6000000000000227,2022-12-04,Round of 16,4,3,1,771,789,L
3857258,786,WC22,Serbia,446,351,5,0,0,0.163,0.033,8,0,14,147,32,11,19,19,10,4,78.7,41.9,3.49,375,Serbia,SRB,3827,79,808.9,23.5,45.0,63,706.2,25.65,45.0,16,102.69999999999993,2022-11-24,Group Stage,1,2,0,781,786,L
3869219,785,WC22,Croatia,796,657,21,7,4,3.988,0.19,24,2,20,150,73,10,34,43,5,3,82.5,57.8,3.0,371,Croatia,CRO,10506,81,1044.3,26.45,39.07,90,1216.3,26.23,39.07,-9,-172.0,2022-12-05,Round of 16,4,1,1,778,785,D
3857255,778,WC22,Japan,253,177,6,3,2,1.158,0.193,5,0,2,229,34,14,26,22,6,2,70.0,18.8,4.06,57,Japan,JPN,3854,30,432.6,28.01,45.0,34,473.9,27.48,45.0,-4,-41.299999999999955,2022-12-01,Group Stage,3,2,1,778,772,W
3857295,795,WC22,Costa Rica,470,374,4,1,1,0.199,0.05,3,1,15,161,71,12,22,23,16,12,79.6,43.2,3.17,385,Costa Rica,CRC,3836,42,463.7,23.42,33.79,36,416.5,24.29,33.79,6,47.19999999999999,2022-11-27,Group Stage,2,0,1,778,795,W
3857254,777,WC22,Tunisia,417,315,13,1,0,1.06,0.082,3,2,5,130,48,12,20,33,16,10,75.5,39.2,3.99,378,Tunisia,TUN,3817,62,667.5,24.03,45.0,50,548.9,25.28,45.0,12,118.60000000000002,2022-11-22,Group Stage,1,0,0,776,777,D
3857278,1839,WC22,United States,517,426,12,5,1,1.17,0.097,11,3,24,140,51,8,12,31,23,13,82.4,50.1,3.22,51,United States,USA,3847,69,770.7,24.68,43.47,53,609.2,27.48,43.47,16,161.5,2022-11-29,Group Stage,3,0,1,797,1839,W
3857284,770,WC22,Germany,826,723,26,9,1,2.768,0.106,19,2,15,86,46,3,23,8,14,5,87.5,73.8,2.63,368,Germany,GER,3821,64,711.5,23.1,32.48,57,699.7,24.88,32.48,7,11.799999999999955,2022-11-23,Group Stage,1,1,2,770,778,L
3857294,3566,WC22,Qatar,486,396,5,3,0,0.144,0.029,13,1,20,127,38,12,13,11,15,8,81.5,36.9,5.47,360,Qatar,QAT,3845,51,587.2,25.14,44.0,47,605.0,27.0,44.0,4,-17.799999999999955,2022-11-29,Group Stage,3,2,0,941,3566,L
3857266,771,WC22,France,540,464,21,6,2,1.934,0.092,18,2,18,109,42,15,19,17,25,16,85.9,48.8,3.97,363,France,FRA,3834,60,790.7,26.31,45.0,75,990.4,25.51,45.0,-15,-199.69999999999993,2022-11-26,Group Stage,2,2,1,771,776,W
3857294,941,WC22,Netherlands,832,747,13,4,2,1.714,0.132,7,6,8,137,46,4,16,8,5,3,89.8,63.1,3.1,366,Netherlands,NED,3845,55,589.9,24.26,44.03,60,631.8,24.51,44.03,-5,-41.89999999999998,2022-11-29,Group Stage,3,2,0,941,3566,W
3869684,785,WC22,Croatia,528,439,12,4,2,0.849,0.071,12,1,11,113,48,8,13,19,10,5,83.1,50.8,3.82,371,Croatia,CRO,10516,48,517.4,25.37,39.53,54,638.4,25.18,39.53,-6,-121.0,2022-12-17,3rd Place Final,7,2,1,785,788,W
3869151,792,WC22,Australia,478,384,5,1,0,0.426,0.085,8,0,17,216,37,9,23,11,13,6,80.3,39.6,2.94,386,Australia,AUS,10503,63,817.7,25.05,40.22,66,878.1,25.28,40.22,-3,-60.39999999999998,2022-12-03,Round of 16,4,2,1,779,792,L
3869321,779,WC22,Argentina,640,531,19,9,6,5.857,0.308,6,2,9,190,53,10,16,27,18,12,83.0,48.1,3.2,364,Argentina,ARG,10511,45,556.1,26.24,45.0,47,571.0,27.46,45.0,-2,-14.899999999999977,2022-12-09,Quarter-finals,5,2,2,941,779,D
3869117,1839,WC22,United States,618,499,18,6,1,1.652,0.092,18,2,16,103,54,15,17,11,17,7,80.7,58.5,3.25,51,United States,USA,10502,68,866.7,23.6,44.04,70,932.0,24.39,44.04,-2,-65.29999999999995,2022-12-03,Round of 16,4,3,1,941,1839,L
3857278,797,WC22,Iran,515,402,4,1,0,0.921,0.23,14,3,21,150,43,11,22,11,12,9,78.1,49.9,2.83,373,Iran,IRN,3847,69,767.5,23.77,45.0,57,631.5,24.87,45.0,12,136.0,2022-11-29,Group Stage,3,0,1,797,1839,L
3857290,773,WC22,Switzerland,549,461,7,3,1,1.427,0.204,13,8,15,143,52,8,8,28,2,1,84.0,50.7,3.35,370,Switzerland,SUI,3824,55,684.5,26.11,45.0,60,751.4,26.07,45.0,-5,-66.89999999999998,2022-11-24,Group Stage,1,1,0,773,2722,W
3857298,780,WC22,Portugal,665,576,11,5,3,2.097,0.191,13,4,16,110,75,3,12,18,11,4,86.6,61.6,3.32,365,Portugal,POR,3826,49,562.7,25.62,39.66,65,740.7,25.41,39.66,-16,-178.0,2022-11-24,Group Stage,1,3,2,780,4885,W
3857257,792,WC22,Australia,350,219,8,4,1,0.47,0.059,6,1,11,101,35,11,28,29,16,5,62.6,32.9,5.11,386,Australia,AUS,3848,60,768.8,26.36,45.0,71,886.5,25.74,45.0,-11,-117.70000000000005,2022-11-30,Group Stage,3,1,0,792,776,W
3869684,788,WC22,Morocco,512,431,9,2,1,0.991,0.11,13,0,21,144,52,16,15,16,13,7,84.2,49.2,3.02,374,Morocco,MAR,10516,40,443.6,23.74,33.8,34,457.6,25.55,33.8,6,-14.0,2022-12-17,3rd Place Final,7,2,1,785,788,L
3857295,778,WC22,Japan,619,527,13,3,0,0.774,0.06,10,0,7,146,50,8,13,9,19,11,85.1,56.8,2.81,57,Japan,JPN,3836,30,382.6,27.97,45.0,31,417.4,30.29,45.0,-1,-34.799999999999955,2022-11-27,Group Stage,2,0,1,778,795,L
3857282,907,WC22,Wales,443,339,7,3,1,1.395,0.199,11,0,15,128,40,10,23,29,12,5,76.5,42.1,3.79,384,Wales,WAL,3815,67,853.3,25.52,41.36,54,728.9,27.25,41.36,13,124.39999999999998,2022-11-21,Group Stage,1,1,1,1839,907,D
3857272,1839,WC22,United States,456,377,10,1,0,0.514,0.051,8,0,8,157,32,4,23,16,10,8,82.7,43.9,3.16,51,United States,USA,3831,38,433.9,26.2,45.0,29,369.8,28.86,45.0,9,64.09999999999997,2022-11-25,Group Stage,2,0,0,768,1839,D
3857279,792,WC22,Australia,475,394,4,1,1,0.323,0.081,6,0,10,105,39,11,24,21,9,5,82.9,38.4,5.45,386,Australia,AUS,3819,46,505.3,26.25,45.0,48,560.5,26.36,45.0,-2,-55.19999999999999,2022-11-22,Group Stage,1,4,1,771,792,L
3857281,1833,WC22,Canada,529,437,8,2,1,0.287,0.036,12,4,17,133,48,10,19,29,33,20,82.6,51.1,3.13,380,Canada,CAN,3838,60,706.7,24.81,44.55,77,926.5,24.89,44.55,-17,-219.79999999999995,2022-11-27,Group Stage,2,4,1,785,1833,L
3857258,781,WC22,Brazil,618,539,23,9,2,2.124,0.092,16,3,13,102,36,8,16,22,22,11,87.2,58.1,3.54,361,Brazil,BRA,3827,43,525.3,26.24,42.86,55,685.2,25.93,42.86,-12,-159.9000000000001,2022-11-24,Group Stage,1,2,0,781,786,W
